NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
1,Brasil,2,%,0.28,306,IPCA dessazonalizado - Variação mensal,200611,novembro 2006,1,Brasil
1,Brasil,2,%,0.45,306,IPCA dessazonalizado - Variação mensal,200612,dezembro 2006,1,Brasil
1,Brasil,2,%,0.47,306,IPCA dessazonalizado - Variação mensal,200701,janeiro 2007,1,Brasil
1,Brasil,2,%,0.38,306,IPCA dessazonalizado - Variação mensal,200702,fevereiro 2007,1,Brasil
1,Brasil,2,%,0.35,306,IPCA dessazonalizado - Variação mensal,200703,março 2007,1,Brasil
1,Brasil,2,%,0.21,306,IPCA dessazonalizado - Variação mensal,200704,abril 2007,1,Brasil
1,Brasil,2,%,0.28,306,IPCA dessazonalizado - Variação mensal,200705,maio 2007,1,Brasil
1,Brasil,2,%,0.34,306,IPCA dessazonalizado - Variação mensal,200706,junho 2007,1,Brasil
1,Brasil,2,%,0.27,306,IPCA dessazonalizado - Variação mensal,200707,julho 2007,1,Brasil
1,Brasil,2,%,0.52,306,IPCA dessazonalizado - Variação mensal,200708,agosto 2007,1,Brasil
1,Brasil,2,%,0.20,306,IPCA dessazonalizado - Variação mensal,200709,setembro 2007,1,Brasil
1,Brasil,2,%,0.30,306,IPCA dessazonalizado - Variação mensal,200710,outubro 2007,1,Brasil
1,Brasil,2,%,0.35,306,IPCA dessazonalizado - Variação mensal,200711,novembro 2007,1,Brasil
1,Brasil,2,%,0.71,306,IPCA dessazonalizado - Variação mensal,200712,dezembro 2007,1,Brasil
1,Brasil,2,%,0.48,306,IPCA dessazonalizado - Variação mensal,200801,janeiro 2008,1,Brasil
1,Brasil,2,%,0.43,306,IPCA dessazonalizado - Variação mensal,200802,fevereiro 2008,1,Brasil
1,Brasil,2,%,0.42,306,IPCA dessazonalizado - Variação mensal,200803,março 2008,1,Brasil
1,Brasil,2,%,0.51,306,IPCA dessazonalizado - Variação mensal,200804,abril 2008,1,Brasil
1,Brasil,2,%,0.79,306,IPCA dessazonalizado - Variação mensal,200805,maio 2008,1,Brasil
1,Brasil,2,%,0.82,306,IPCA dessazonalizado - Variação mensal,200806,junho 2008,1,Brasil
1,Brasil,2,%,0.60,306,IPCA dessazonalizado - Variação mensal,200807,julho 2008,1,Brasil
1,Brasil,2,%,0.32,306,IPCA dessazonalizado - Variação mensal,200808,agosto 2008,1,Brasil
1,Brasil,2,%,0.29,306,IPCA dessazonalizado - Variação mensal,200809,setembro 2008,1,Brasil
1,Brasil,2,%,0.43,306,IPCA dessazonalizado - Variação mensal,200810,outubro 2008,1,Brasil
1,Brasil,2,%,0.33,306,IPCA dessazonalizado - Variação mensal,200811,novembro 2008,1,Brasil
1,Brasil,2,%,0.28,306,IPCA dessazonalizado - Variação mensal,200812,dezembro 2008,1,Brasil
1,Brasil,2,%,0.42,306,IPCA dessazonalizado - Variação mensal,200901,janeiro 2009,1,Brasil
1,Brasil,2,%,0.56,306,IPCA dessazonalizado - Variação mensal,200902,fevereiro 2009,1,Brasil
1,Brasil,2,%,0.17,306,IPCA dessazonalizado - Variação mensal,200903,março 2009,1,Brasil
1,Brasil,2,%,0.48,306,IPCA dessazonalizado - Variação mensal,200904,abril 2009,1,Brasil
1,Brasil,2,%,0.49,306,IPCA dessazonalizado - Variação mensal,200905,maio 2009,1,Brasil
1,Brasil,2,%,0.42,306,IPCA dessazonalizado - Variação mensal,200906,junho 2009,1,Brasil
1,Brasil,2,%,0.28,306,IPCA dessazonalizado - Variação mensal,200907,julho 2009,1,Brasil
1,Brasil,2,%,0.18,306,IPCA dessazonalizado - Variação mensal,200908,agosto 2009,1,Brasil
1,Brasil,2,%,0.30,306,IPCA dessazonalizado - Variação mensal,200909,setembro 2009,1,Brasil
1,Brasil,2,%,0.26,306,IPCA dessazonalizado - Variação mensal,200910,outubro 2009,1,Brasil
1,Brasil,2,%,0.37,306,IPCA dessazonalizado - Variação mensal,200911,novembro 2009,1,Brasil
1,Brasil,2,%,0.33,306,IPCA dessazonalizado - Variação mensal,200912,dezembro 2009,1,Brasil
1,Brasil,2,%,0.66,306,IPCA dessazonalizado - Variação mensal,201001,janeiro 2010,1,Brasil
1,Brasil,2,%,0.78,306,IPCA dessazonalizado - Variação mensal,201002,fevereiro 2010,1,Brasil
1,Brasil,2,%,0.48,306,IPCA dessazonalizado - Variação mensal,201003,março 2010,1,Brasil
1,Brasil,2,%,0.55,306,IPCA dessazonalizado - Variação mensal,201004,abril 2010,1,Brasil
1,Brasil,2,%,0.45,306,IPCA dessazonalizado - Variação mensal,201005,maio 2010,1,Brasil
1,Brasil,2,%,0.08,306,IPCA dessazonalizado - Variação mensal,201006,junho 2010,1,Brasil
1,Brasil,2,%,0.07,306,IPCA dessazonalizado - Variação mensal,201007,julho 2010,1,Brasil
1,Brasil,2,%,0.06,306,IPCA dessazonalizado - Variação mensal,201008,agosto 2010,1,Brasil
1,Brasil,2,%,0.50,306,IPCA dessazonalizado - Variação mensal,201009,setembro 2010,1,Brasil
1,Brasil,2,%,0.73,306,IPCA dessazonalizado - Variação mensal,201010,outubro 2010,1,Brasil
1,Brasil,2,%,0.78,306,IPCA dessazonalizado - Variação mensal,201011,novembro 2010,1,Brasil
1,Brasil,2,%,0.60,306,IPCA dessazonalizado - Variação mensal,201012,dezembro 2010,1,Brasil
1,Brasil,2,%,0.75,306,IPCA dessazonalizado - Variação mensal,201101,janeiro 2011,1,Brasil
1,Brasil,2,%,0.81,306,IPCA dessazonalizado - Variação mensal,201102,fevereiro 2011,1,Brasil
1,Brasil,2,%,0.74,306,IPCA dessazonalizado - Variação mensal,201103,março 2011,1,Brasil
1,Brasil,2,%,0.78,306,IPCA dessazonalizado - Variação mensal,201104,abril 2011,1,Brasil
1,Brasil,2,%,0.52,306,IPCA dessazonalizado - Variação mensal,201105,maio 2011,1,Brasil
1,Brasil,2,%,0.24,306,IPCA dessazonalizado - Variação mensal,201106,junho 2011,1,Brasil
1,Brasil,2,%,0.22,306,IPCA dessazonalizado - Variação mensal,201107,julho 2011,1,Brasil
1,Brasil,2,%,0.40,306,IPCA dessazonalizado - Variação mensal,201108,agosto 2011,1,Brasil
1,Brasil,2,%,0.58,306,IPCA dessazonalizado - Variação mensal,201109,setembro 2011,1,Brasil
1,Brasil,2,%,0.40,306,IPCA dessazonalizado - Variação mensal,201110,outubro 2011,1,Brasil
1,Brasil,2,%,0.45,306,IPCA dessazonalizado - Variação mensal,201111,novembro 2011,1,Brasil
1,Brasil,2,%,0.43,306,IPCA dessazonalizado - Variação mensal,201112,dezembro 2011,1,Brasil
1,Brasil,2,%,0.48,306,IPCA dessazonalizado - Variação mensal,201201,janeiro 2012,1,Brasil
1,Brasil,2,%,0.48,306,IPCA dessazonalizado - Variação mensal,201202,fevereiro 2012,1,Brasil
1,Brasil,2,%,0.19,306,IPCA dessazonalizado - Variação mensal,201203,março 2012,1,Brasil
1,Brasil,2,%,0.63,306,IPCA dessazonalizado - Variação mensal,201204,abril 2012,1,Brasil
1,Brasil,2,%,0.39,306,IPCA dessazonalizado - Variação mensal,201205,maio 2012,1,Brasil
1,Brasil,2,%,0.15,306,IPCA dessazonalizado - Variação mensal,201206,junho 2012,1,Brasil
1,Brasil,2,%,0.50,306,IPCA dessazonalizado - Variação mensal,201207,julho 2012,1,Brasil
1,Brasil,2,%,0.45,306,IPCA dessazonalizado - Variação mensal,201208,agosto 2012,1,Brasil
1,Brasil,2,%,0.62,306,IPCA dessazonalizado - Variação mensal,201209,setembro 2012,1,Brasil
1,Brasil,2,%,0.57,306,IPCA dessazonalizado - Variação mensal,201210,outubro 2012,1,Brasil
1,Brasil,2,%,0.51,306,IPCA dessazonalizado - Variação mensal,201211,novembro 2012,1,Brasil
1,Brasil,2,%,0.73,306,IPCA dessazonalizado - Variação mensal,201212,dezembro 2012,1,Brasil
1,Brasil,2,%,0.78,306,IPCA dessazonalizado - Variação mensal,201301,janeiro 2013,1,Brasil
1,Brasil,2,%,0.61,306,IPCA dessazonalizado - Variação mensal,201302,fevereiro 2013,1,Brasil
1,Brasil,2,%,0.42,306,IPCA dessazonalizado - Variação mensal,201303,março 2013,1,Brasil
1,Brasil,2,%,0.51,306,IPCA dessazonalizado - Variação mensal,201304,abril 2013,1,Brasil
1,Brasil,2,%,0.40,306,IPCA dessazonalizado - Variação mensal,201305,maio 2013,1,Brasil
1,Brasil,2,%,0.35,306,IPCA dessazonalizado - Variação mensal,201306,junho 2013,1,Brasil
1,Brasil,2,%,0.13,306,IPCA dessazonalizado - Variação mensal,201307,julho 2013,1,Brasil
1,Brasil,2,%,0.29,306,IPCA dessazonalizado - Variação mensal,201308,agosto 2013,1,Brasil
1,Brasil,2,%,0.40,306,IPCA dessazonalizado - Variação mensal,201309,setembro 2013,1,Brasil
1,Brasil,2,%,0.55,306,IPCA dessazonalizado - Variação mensal,201310,outubro 2013,1,Brasil
1,Brasil,2,%,0.46,306,IPCA dessazonalizado - Variação mensal,201311,novembro 2013,1,Brasil
1,Brasil,2,%,0.87,306,IPCA dessazonalizado - Variação mensal,201312,dezembro 2013,1,Brasil
1,Brasil,2,%,0.46,306,IPCA dessazonalizado - Variação mensal,201401,janeiro 2014,1,Brasil
1,Brasil,2,%,0.71,306,IPCA dessazonalizado - Variação mensal,201402,fevereiro 2014,1,Brasil
1,Brasil,2,%,0.87,306,IPCA dessazonalizado - Variação mensal,201403,março 2014,1,Brasil
1,Brasil,2,%,0.64,306,IPCA dessazonalizado - Variação mensal,201404,abril 2014,1,Brasil
1,Brasil,2,%,0.50,306,IPCA dessazonalizado - Variação mensal,201405,maio 2014,1,Brasil
1,Brasil,2,%,0.51,306,IPCA dessazonalizado - Variação mensal,201406,junho 2014,1,Brasil
1,Brasil,2,%,0.10,306,IPCA dessazonalizado - Variação mensal,201407,julho 2014,1,Brasil
1,Brasil,2,%,0.29,306,IPCA dessazonalizado - Variação mensal,201408,agosto 2014,1,Brasil
1,Brasil,2,%,0.60,306,IPCA dessazonalizado - Variação mensal,201409,setembro 2014,1,Brasil
1,Brasil,2,%,0.38,306,IPCA dessazonalizado - Variação mensal,201410,outubro 2014,1,Brasil
1,Brasil,2,%,0.44,306,IPCA dessazonalizado - Variação mensal,201411,novembro 2014,1,Brasil
1,Brasil,2,%,0.73,306,IPCA dessazonalizado - Variação mensal,201412,dezembro 2014,1,Brasil
1,Brasil,2,%,1.15,306,IPCA dessazonalizado - Variação mensal,201501,janeiro 2015,1,Brasil
1,Brasil,2,%,1.22,306,IPCA dessazonalizado - Variação mensal,201502,fevereiro 2015,1,Brasil
1,Brasil,2,%,1.27,306,IPCA dessazonalizado - Variação mensal,201503,março 2015,1,Brasil
1,Brasil,2,%,0.69,306,IPCA dessazonalizado - Variação mensal,201504,abril 2015,1,Brasil
